Id,Name,Description,Participation,Location,Region,Town,Tel,Org,Start,End,Px,Py
C2_371020000A_003064,國家重要古物「蔡復一畫像」前世今生典藏展,「前世」指的是畫像的歷史脈絡與修復前，「今生」則是經由文化價值調查與修復後獲指定為國家重要古物。蔡復一(1576-1625)，出生於金門縣蔡厝，為晚明萬曆、天啟政壇與文壇的知名人物。金門蔡氏規模較大者可分為二派，即濟陽、青陽兩派。濟陽派以瓊林、許坑、小徑、中下蘭、前水頭、後浦、烈嶼等；青陽派則以蔡厝、安岐、湖尾等地為代表。蔡氏入閩源於唐咸通元年(860)，蔡用明(字輝)從莆陽仙遊遷到晉江青陽，是為青陽派蔡氏入閩之始祖，蔡復一為金門蔡厝青陽蔡氏二房第二十一世裔孫。　　「蔡復一畫像」是現今所知唯一一幅記錄蔡復一容貌細節的傳世肖像畫，亦是目前臺灣、澎湖、金門、馬祖等地可見年代最早，且品秩位階極高之明代祖先畫像，其完成年代可上溯至晚明天啟年間（十七世紀初；約西元1625年）。畫像原作在歷經一年多的修復，於109年7月5日甫獲文化部指定為國家重要古物，並獲文化部的補助辦理「蔡復一畫像」前世今生典藏展，配合開幕，除安排由金門浯江舞蹈團演出《金門異像奇人-蔡復一傳奇》舞蹈故事劇，開幕首日參觀展覽還將贈送「眇目傳神-金門重要古物『蔡復一畫像』研究」專書，並特邀作者臺南藝術大學盧泰康教授與臺灣藝術大學邵慶旺助理教授於展場解說簽名。典藏展以五個單元：「一目觀天金門奇人」、「蔡大人說故事」、「詩人蔡復一」、「古物的前世今生」、「國家重要古物展示」，向觀眾介紹蔡復一這位「晚明國防部長」的一生，並現地展出畫作原件，以不同主題的鋪陳，規劃保存維護的合適空間與環境，呈現「蔡復一畫像」在歷史進程中的重要定位，以及此幅畫像的多重文化價值，做為金門地區傳世祖宗畫像的首件古物代表，不僅只是青陽蔡氏家族的珍藏，畫像本身的藝術風格與畫風流派，在在足以彰顯「蔡復一畫像」成為國家重要古物的珍貴性，呼應歷史博物館第一展廳「打開金門」主題，此次於第六展廳規劃保存與展示共存的展示計畫，也再一次實踐楊縣長形塑金門東半島文化底蘊的願景。,,詳見官網,金門縣,金沙鎮,886-8-2318823,金門縣政府,2022/1/23 09:00,2023/12/31 17:00,118.4034,24.49928
C2_371020000A_003151,點水成金-金門水文化特展,人類的文明發展及族群遷徙皆與水息息相關，水既是生命的基本需求，也是日常生活不可或缺的元素之一。然而，金門先天水資源條件缺乏，年降雨量少且分布不均，近年亦出現湖庫水量不足和用水需求不斷上升的問題，使得金門人在尋找與適應水資源的歷程中，從傳說信仰、俗諺俚語、建築結構到生活產業，乃至於2018年自大陸引水等，逐步演進出世代獨特和豐富多樣的水文化。本次展覽以金門水文化為主軸，包含水傳說、水生態、水資源、水生活、水永續等五個策展主題，由金門特有的歷史背景與水文地理出發，展示水之於聚落及產業密不可分的關係，呈現金門水文化於物質及精神形態的獨特詮釋，最後以現今大眾關心的水資源議題，引導觀眾一同思考在水資源珍貴的島嶼上，我們該如何傳承水文化並與水共生？展覽內容呈現了「水」與金門自然、聚落、生活、產業密不可分的關係，內容豐富精彩，不僅有有常民生活中常見與水有關的文物、還有金門縣潮間帶學會洪清漳老師提供的「金門鐘螺」和貝類等珍貴標本。此外，展覽針對珍惜水資源的永續議題，規劃了適合大人小孩寓教於樂的展場互動裝置，如：國立臺灣科學教育館提供的VR遊戲、掃描QR code就可以玩的多人即時接水遊戲、親子互動水管教育裝置和特色打卡牆等，以寓教於樂的方式引導觀眾認識金門珍貴的水文化資產，除了發揮博物館文化傳承的功能外，也希望推廣珍惜水資源的教育理念。,,詳見官網,嘉義市,西區,886-8-2318823,金門縣政府,2022/4/22 09:00,2023/12/31 17:00,120.44676,23.48876
C2_371020000A_003358,《書法自然-悠遊字在》年度會員作品暨邀請聯展書法,無,,詳見官網,金門縣,金城鎮,886-8-2318823,金門縣政府,2023/12/9 08:00,2024/1/3 17:30,118.31705,24.43586
C2_371020000A_003399,單車的香格里拉-金門國家公園自行車生態樂騎活動,2023單車的香格里拉－金門國家公園自行車生態樂騎3日遊活動，全年度共安排7個梯次，每梯次3天，以自行車探索金門的每一個角落。第1梯次活動將於3月21日上午9時開始報名，並訂於4月8日至10日開騎，有興趣的民眾歡迎報名參加。金門國家公園管理處自100年開始辦理該活動。今（112）年度最大的亮點為安排騎自行車通過金門大橋，暢遊烈嶼。金管處將安排專業領騎帶領車友深度認識金門傳統聚落之美、感受古早味的生活文化、體驗戰地風情、欣賞自然生態等。2023單車的香格里拉－金門國家公園自行車生態樂騎活動3日遊活動時間及報名方式如下：一、各梯次辦理時間及開放報名時間：（一）第1梯次（4月8日至4月10日）報名時間自3月21日上午9時開放網路報名。（二）第2梯次（5月29日至5月31日）報名時間自3月29日上午9時開放網路報名。（三）第3梯次（6月8日至6月10日）報名時間自4月8日上午9時開放網路報名。（四）第4梯次（6月29日至7月1日）報名時間自4月29日上午9時開放網路報名。（五）第5梯次（9月3日至9月5日）報名時間自7月3日上午9時開放網路報名。（六）第6梯次（9月25日至9月27日）報名時間自7月25日上午9時開放網路報名。（七）第7梯次（11月2日至11月4日）報名時間自9月2日上午9時開放網路報名。二、參加對象為13足歲以上之民眾，具有長途騎乘經驗者；報名費每人新臺幣800元，活動一律採取網路報名。三、每梯次活動人數上限40人，報名未滿28人則該梯次停辦。四、活動單位提供服務（含贈品）：單車（登山車、小徑車）含安全帽免費借用。專業領騎導覽、保姆車支援補給。活動期間（三日）午餐（便當）、補給。贈送活動紀念車衣。贈送活動紀念品。贈送完騎證書。活動期間住宿金門國家公園標租古厝民宿，每人可獲得新臺幣500元住宿補貼券1張。主辦單位：金門國家公園管理處活動時間：2-12月辦理8梯次連絡電話：082-313215各活動時間以主辦單位最新公告為主,,詳見官網,金門縣,金城鎮,886-8-2318823,金門縣政府,2023/2/1 00:00,2023/12/31 23:59,118.31705,24.43586
C2_371020000A_003556,2024金門馬拉松,2024金門馬拉松邁入第17屆，將邀各地跑者「17 Running」，在2024年1月6日至7日，用雙腳跑過金門大橋。2024金門馬拉松賽為保有自然景觀及戰地特色，將依往例請金防部支援，維持兩棲蛙人列隊競跑、輕型戰術車做為賽道前導車、中型戰術車當殿後收容車以及軍備陳展等戰地特色，同時也再次將金門跨海大橋及烈嶼鄉富含歷史氣息的車轍道、海灣南北外環道納入賽道。此外，也會邀請亞洲地區高知名度─大陸福州「高顏值跑團」來領跑，此高顏值的女配速員，成績皆於3小時30分內。為了吸引初次挑戰馬拉松的跑友們，此次將有初馬組別供想將完賽原木獎座留作紀念的初馬跑者參加，並由金門酒廠加贈初馬紀念酒1份。主辦單位：金門縣政府起跑地點：金馬聯合服務中心(省政府)連絡電話：王先生 082-325630#62492 各活動時間及地點以主辦單位最新公告為主,,詳見官網,金門縣,金城鎮,886-8-2318823,金門縣政府,2024/1/6 00:00,2024/1/7 23:59,118.31076,24.43122
C2_371020000A_003557,2024金沙鎮元宵活動,元宵節是農曆新年的第一個月圓之夜，是祭月、賞月的日子，也象徵著春天的到來，為復甦沙金沙生氣，用以結合傳統民俗藝術之美，打造一項親子活動，讓陽翟老街有更多人潮前來參訪。 主辦單位：金沙鎮公所活動時間：2月24日活動地點：沙美市區連絡電話：陳小姐 082-352150,,詳見官網,金門縣,金沙鎮,886-8-2318823,金門縣政府,2024/2/23 00:00,2024/3/3 23:59,118.42725,24.47945
C2_371020000A_003558,2024單車的香格里拉-金門國家公園自行車生態樂騎活動3日遊,近年來運動休閒與節能減碳已經形成風潮，而自行車正是一種節能減碳、又無汙染的綠色環保交通工具，深受大眾的喜愛，國內騎乘自行車的風氣也越來越風行，尤其是金門因地形平緩、道路景觀優美，正提供了自行車的最佳騎乘環境。       爰此，內政部國家公園署金門國家公園管理處(以下稱金管處)自97年起開始推動自行車生態旅遊活動，並自100年起，每年持續辦理自行車環島生態旅遊活動，活動路線之規劃結合金門國家公園戰役、聚落、人文及生態資源特色。藉由辦理低碳休閒活動，減少遊憩對生態旅遊地之衝擊，引領民眾走進國家公園，瞭解國家公園資源之豐美，進而促進地方產業發展。       為讓參與者更深入體驗金門之美，金管處113年度預計推出8梯次的自行車活動，由專業領騎帶領民眾深度認識金門傳統聚落之美、感受古早味的生活文化、體驗戰地風情、欣賞自然生態美景等，讓民眾可以更愜意地享受騎遊的樂趣並盡情體驗金門島嶼之美。 主辦單位：內政部國家公園署金門國家公園管理處活動時間：6-10 月辦理 8 梯次第1梯次：2024/06/05～2024/06/07第2梯次：2024/06/21～2024/06/23第3梯次：2024/08/31～2024/09/02第4梯次：2024/09/13～2024/09/15第5梯次：2024/09/21～2024/09/23第6梯次：2024/10/05～2024/10/07第7梯次：2024/10/25～2024/10/27第8梯次：2024/11/02～2024/11/04活動地點：大金門東半島、西半島、烈嶼鄉連絡電話：張小姐 082-313215 各活動時間及地點以主辦單位最新公告為主,,詳見官網,金門縣,金城鎮,886-8-2318823,金門縣政府,2024/6/5 00:00,2024/11/4 23:59,118.31705,24.43586
C2_371020000A_003559,2024跑動金門Running Kinmen,2024跑動金門第3屆，挑選金門縣各鄉鎮中富含自然文化美景、歷史文化特性的道路納入賽道，並以3K至10K左右的距離作為規劃，提倡各階段、各年齡層全民皆可參與，以符合全民運動的精神，同時有兼備觀光與運動的休閒性質路跑活動。教育部體育署鼓勵全民運動參與之觀光路跑計畫，整體活動以觀光運動為設計重點，將大自然景觀、地區特色、隱藏景點、秘境類景點納入活動場地及賽道規劃，讓參與者在活動前、中、後等時段，皆能在會場、賽道中感受到不一樣的環境與景色，十分適合親子、長輩共同參與，透過本路跑活動期間，來一同體驗金門之美主辦單位：金門縣政府教育處體健科活動時間：8月24日活動地點：金門縣林務所連絡電話：王先生 082-325630#62492 各活動時間及地點以主辦單位最新公告為主,,詳見官網,金門縣,金沙鎮,886-8-2318823,金門縣政府,2024/8/24 00:00,2024/8/24 23:59,118.44443,24.46285
C2_371020000A_003560,2024金寧鄉石蚵文化季,金寧鄉特有的石蚵，結合觀光、生態等資源，來塑造地方產業特色．以食農教育為推廣方向，與在地蚵農合作舉辦探蚵林及千人剝蚵活動，親身體驗傳統產業文化。此外，還規劃了大胃王與蚵藝競賽，玩轉傳統產業以創新的活動方式看到更不一樣的產業魅力。活動除了特色產業體驗還規劃大型親子活動，設置多樣遊樂設施與闖關活動結合在地攤商帶來歡樂有趣的嘉年華會。此次特別邀請知名特技火舞團帶來精彩的特技雜耍演出，希望帶給遊客及鄉親更多精彩回憶。2024石蚵文化季活動行事曆【打卡景點 百元禮卷週週抽~】完成指定任務就有機會抽500元超商禮券喔.ᐟ活動日期｜4/8-14. 4/15-21 .4/22-28蚵藝比賽招募報名日期｜4月11日9:00～26日17:00止烤蚵/大胃王/探蚵林 系列活動報名報名日期｜4月17(三)時間｜上午08:00 千人剝蚵日期｜4月27(六)時間｜下午16:00-18:00地點｜金寧古寧村北山出海口「海提」石蚵文化季主活動日期｜5/4(六)~5/5(日)時間｜14:00~21:00地點｜金門大橋主辦單位：金寧鄉公所連絡電話：陳先生 082-325610,,詳見官網,金門縣,金寧鄉,886-8-2318823,金門縣政府,2024/4/27 00:00,2024/5/31 23:59,118.30555,24.45287
C2_371020000A_003561,浯島城隍文化觀光季,結合地方社區及學校資源，表演一系列的民俗活動，並以各式地方特色陣頭活動表演表現地區各種不同習俗和傳統文化等，提供在地民眾及來金觀光遊客一個豐盛的文化饗宴及體驗金門在地傳統文化。⦿ 3/30 (六) 浯島城隍季活動記者會時間：10:00  地點：浯島城隍廟⦿ 4/20(六)-5/18(六)心城則靈祈福活動時間：10:00-18:00  地點：浯島城隍廟⦿ 4/20(六)-5/19(日)專人導覽後浦小鎮時間：19:30-21:30  集合地點：總兵署集合⦿ 地方特色藝陣表演及踩街時間：5月6日(星期一)-5月10日(星期五) 晚間6:30開始地點：北門北鎮廟5月6日：天震堂舞獅、北門十二婆姐、幼獅戰鼓、金門縣公揹婆5月7日：神轎、​金門縣公揹婆、龍獅、北門十二婆姐5月8日：東門公揹婆、三太子、跳鼓陣、舞獅。5月9日：東門公揹婆、三太子、蓮花大鼓陣、招財進寶。5月10日：東門公揹婆、三太子、迎親陣、舞獅。踩街路線：北門北鎮廟&mdash;東門代天府&mdash;水門睢陽府&mdash;南門天后宮&mdash;浯島城隍廟&mdash;西門外武廟&mdash;北門北鎮廟⦿ 4/28(日)迎城隍祈福音樂會時間：19:00-21:00  地點：莒光樓⦿ 4/28(日)天上聖母暨蘇府四王爺平安遶境時間：14:00  地點：後浦城區⦿ 4/29-5/24(截止收件日)迎城隍主題繪畫比賽⦿ 5/11(六)四境特色藝陣展演大遊行時間：16:30-20:30  地點：總兵署前廣場及後浦城區⦿ 5/19(日)農曆四月十二浯島城隍遷治344周年遶境時間：13:00  遶境起點：浯島城隍廟交通管制圖主辦單位：金城鎮公所觀光課 活動時間：4月20日至6月30日活動地點：金城地區連絡電話：王小姐 082-325057,,詳見官網,金門縣,金城鎮,886-8-2318823,金門縣政府,2024/4/20 00:00,2024/6/30 23:59,118.31611,24.4324
