latitude,longitude,altitude,geometry,stop_id,stop_name,capacity,category
25.02605,121.5436,,Point,U101001,捷運科技大樓站,28,中
25.02565,121.54357,,Point,U101002,復興南路二段273號前,21,中
25.02429,121.54124,,Point,U101003,國北教大實小東側門,16,中
25.02351,121.54282,,Point,U101004,和平公園東側,11,中
25.02153,121.54299,,Point,U101005,辛亥復興路口西北側,16,中
25.02429,121.54328,,Point,U101006,復興南路二段280號前,11,中
25.02253,121.54326,,Point,U101007,復興南路二段340巷口,11,中
25.02112,121.53407,,Point,U101008,新生南路三段52號前,17,高
25.01976,121.53384,,Point,U101009,新生南路三段66號前,16,高
25.01894,121.53361,,Point,U101010,新生南路三段82號前,20,高
25.01986,121.52982,,Point,U101012,辛亥路一段30號前,8,中
25.02543,121.54332,,Point,U101013,和平復興路口西北側,9,中
25.01717,121.53202,,Point,U101014,羅斯福路三段311號前,11,中
25.020348,121.546446,,Point,U101015,大安運動中心停車場,14,中
25.01927,121.52989,,Point,U101016,羅斯福路三段245號前,8,中
25.01895,121.53156,,Point,U101018,溫州公園,5,中
25.024461,121.546705,,Point,U101019,和平臥龍街口,15,中
25.02093,121.5331,,Point,U101020,溫州停車場,5,中
25.01385,121.53549,,Point,U101021,銘傳國小側門,7,中
25.01491,121.53438,,Point,U101022,捷運公館站(2號出口),99,中
25.01451,121.54142,,Point,U101024,臺灣科技大學正門,30,中
25.01295,121.53973,,Point,U101025,臺灣科技大學側門,99,中
25.01137,121.54062,,Point,U101026,公館公園,15,中
25.01182,121.54165,,Point,U101027,臺灣科技大學後門,39,高
25.01426,121.54382,,Point,U101028,臺大醫學院附設癌醫中心,20,中
25.01234,121.54503,,Point,U101029,臺大環研大樓,15,中
25.0136,121.54656,,Point,U101030,臺大永齡生醫工程館,34,高
25.01537,121.54698,,Point,U101031,臺大男七舍前,20,高
25.01637,121.54535,,Point,U101032,臺大男一舍前,61,高
25.01664,121.5452,,Point,U101033,臺大男六舍前,46,中
25.01576,121.54291,,Point,U101034,臺大動物醫院前,18,中
25.01787,121.5476,,Point,U101035,臺大土木研究大樓前,24,高
25.02032,121.54497,,Point,U101036,臺大萬才館前,20,高
25.02076,121.54432,,Point,U101037,臺大國青大樓宿舍前,20,高
25.02101,121.54284,,Point,U101038,臺大社科院圖書館前,27,中
25.02104,121.54081,,Point,U101039,臺大法人語言訓練中心前,28,中
25.0222,121.53626,,Point,U101040,臺大綜合體育館停車場前,25,中
25.02218,121.53474,,Point,U101041,辛亥新生路口東南側,41,中
25.01727,121.54471,,Point,U101042,基隆長興路口東側,15,中
25.022864,121.546622,,Point,U101091,國北教大側門南側,25,高
25.021641,121.54704,,Point,U101092,和平實小東北側,13,中
25.021469,121.544069,,Point,U101093,大安區健康服務中心,15,中
25.02193,121.53165,,Point,U101094,辛亥泰順街口,20,中
25.0189,121.55013,,Point,U101095,芳和國中,28,高
25.01856,121.55558,,Point,U101097,臥龍樂業街口,36,高
25.01623,121.55037,,Point,U101098,臥龍公園,14,中
25.021,121.55211,,Point,U101099,嘉興公園,44,高
25.0181,121.55929,,Point,U101100,捷運麟光站(2號出口),35,高
25.02397,121.55266,,Point,U101101,捷運六張犁站,64,高
25.02705,121.55551,,Point,U101102,喬治工商,26,中
25.02694,121.55325,,Point,U101103,法治公園,15,中
25.02021,121.52942,,Point,U101104,捷運臺電大樓站(2號出口),15,中
25.02669,121.52529,,Point,U101105,和平金山路口,45,高
25.02638,121.52971,,Point,U101107,和平龍泉街口,34,高
25.02621,121.53171,,Point,U101108,和平泰順街口,9,高
25.0266,121.52973,,Point,U101109,臺灣師範大學(圖書館),40,高
25.0276,121.52217,,Point,U101110,捷運古亭站(6號出口),60,高
25.02715,121.52293,,Point,U101111,捷運古亭站(5號出口),14,中
25.02895,121.5379,,Point,U101113,臺北市立圖書館(總館),45,高
25.02657,121.53515,,Point,U101114,新生和平路口東北側,38,高
25.02606,121.53738,,Point,U101115,建國和平路口西北側,44,高
25.02984,121.53107,,Point,U101116,金華公園,35,高
25.03383,121.52815,,Point,U101117,捷運東門站(3號出口),15,中
25.03519,121.5245,,Point,U101118,金甌女中,12,中
25.03325,121.52436,,Point,U101119,金杭公園,20,高
25.03164,121.52661,,Point,U101120,愛國金山路口,33,高
25.0237,121.54899,,Point,U101122,敦化南路二段293巷口南側,14,中
25.02215,121.54839,,Point,U101123,敦化基隆路口,29,中
25.02721,121.54988,,Point,U101124,安和路二段181巷口,17,高
25.02952,121.55406,,Point,U101125,臨江街夜市(通化街101巷口),30,高
25.02931,121.55721,,Point,U101126,臨江街夜市(基隆路),17,中
25.04177,121.53833,,Point,U101127,台北科技大學億光大樓,46,中
25.04003,121.53299,,Point,U101128,新生南路一段119巷口,33,高
25.03753,121.53523,,Point,U101129,幸安國小(仁愛路),16,高
25.03534,121.5354,,Point,U101130,民榮公園,15,中
25.03701,121.54348,,Point,U101131,復興南路1段340巷口,38,高
25.03935,121.53828,,Point,U101132,建國濟南路口,29,高
25.04035,121.5436,,Point,U101133,捷運忠孝復興站(2號出口),43,高
25.0332,121.5439,,Point,U101134,捷運大安站(4號出口),13,中
25.03358,121.54141,,Point,U101135,捷運大安站(2號出口),22,中
25.03317,121.54639,,Point,U101136,信義大安路口(信維大樓),12,中
25.04092,121.54825,,Point,U101137,龍門廣場,50,中
25.03754,121.55285,,Point,U101138,仁愛安和路口,25,中
25.03333,121.54977,,Point,U101139,信義敦化路口,46,高
25.03706,121.55166,,Point,U101140,仁愛國中,25,中
25.03304,121.55171,,Point,U101141,捷運信義安和站(2號出口),26,中
25.04463,121.53665,,Point,U101142,八德市場,30,中
25.04448,121.53946,,Point,U101143,昌隆公園,16,高
25.03332,121.53435,,Point,U101144,捷運大安森林公園站(2號出口),62,高
25.03318,121.55725,,Point,U101145,信義延吉街口,15,高
25.03513,121.5561,,Point,U101146,光信公園(光復南路456巷),15,高
25.0391,121.5569,,Point,U101147,僑安地下停車場(2號出口)東南側,20,中
25.03635,121.53833,,Point,U101148,建國南路一段279巷口,32,高
25.04091,121.53295,,Point,U101149,捷運忠孝新生站(6號出口),15,中
25.04239,121.53324,,Point,U101150,捷運忠孝新生站(4號出口),34,中
25.03126,121.54339,,Point,U101151,大安高工,23,中
25.04189,121.53376,,Point,U101152,捷運忠孝新生站(3號出口),23,中
25.04201,121.54612,,Point,U101153,瑠公公園,20,中
25.04405,121.5486,,Point,U101154,敦化市民路口,23,高
25.03336,121.5364,,Point,U101155,捷運大安森林公園站(5號出口),15,中
25.0328,121.53746,,Point,U101156,信義建國路口,38,高
25.03569,121.5451,,Point,U101157,東豐公園,19,中
25.03473,121.54767,,Point,U101158,德安公園(四維路66巷),14,高
25.04262,121.54443,,Point,U101159,捷運忠孝復興站(5號出口),41,高
25.04153,121.5524,,Point,U101160,捷運忠孝敦化站(2號出口),17,高
25.04159,121.54937,,Point,U101161,捷運忠孝敦化站(7號出口),18,中
25.02979,121.54053,,Point,U101163,瑞安街208巷,15,中
25.0277,121.55132,,Point,U101165,樂利路21巷口,17,高
25.02469,121.54459,,Point,U101166,捷運科技大樓站(台北教育大學),46,高
25.04122,121.55745,,Point,U101167,捷運國父紀念館站(2號出口),38,高
25.03756,121.54587,,Point,U101168,仁愛醫院,30,中
25.03305,121.55378,,Point,U101169,捷運信義安和站(4號出口),30,高
25.02681,121.54668,,Point,U101170,成功國宅,30,高
25.03748,121.55564,,Point,U101171,仁愛延吉街口,25,高
25.03331,121.55265,,Point,U101172,捷運信義安和站(1號出口),33,高
25.0287,121.54904,,Point,U101173,敦化南路二段103巷口,24,中
25.02861,121.54336,,Point,U101174,復興南路二段128巷口,28,高
25.02575,121.5377,,Point,U101175,和平東建國南路口,17,中
25.01223,121.54788,,Point,U101176,芳蘭山莊,16,高
25.04311,121.54313,,Point,U101177,復興南路一段126巷口,15,中
